Age;Total;Males;Females
0;288;165;123
1;25;12;13
2;14;9;5
3;13;7;6
4;10;5;5
5;11;6;5
6;17;10;7
7;5;2;3
8;12;5;7
9;8;5;3
10;10;7;3
11;14;10;4
12;13;8;5
13;12;6;6
14;11;5;6
15;14;8;6
16;18;8;10
17;30;24;6
18;39;24;15
19;47;37;10
20;47;36;11
21;45;33;12
22;43;33;10
23;50;40;10
24;58;41;17
25;58;40;18
26;57;38;19
27;68;51;17
28;77;56;21
29;80;61;19
30;70;49;21
31;88;66;22
32;93;62;31
33;101;73;28
34;104;78;26
35;126;86;40
36;110;83;27
37;133;85;48
38;155;95;60
39;176;116;60
40;216;144;72
41;201;141;60
42;258;175;83
43;287;186;101
44;293;192;101
45;345;243;102
46;343;230;113
47;365;245;120
48;368;259;109
49;413;276;137
50;459;337;122
51;479;332;147
52;530;367;163
53;578;411;167
54;613;418;195
55;778;507;271
56;693;475;218
57;730;492;238
58;866;582;284
59;901;621;280
60;1063;713;350
61;1192;801;391
62;1451;952;499
63;1666;1104;562
64;1818;1224;594
65;1881;1244;637
66;2086;1389;697
67;2226;1447;779
68;2496;1620;876
69;2527;1629;898
70;2752;1724;1028
71;3032;1866;1166
72;3341;2032;1309
73;3171;1908;1263
74;3006;1770;1236
75;3320;1894;1426
76;3162;1741;1421
77;3128;1711;1417
78;3264;1717;1547
79;3250;1634;1616
80;3033;1538;1495
81;3209;1501;1708
82;3172;1478;1694
83;3318;1459;1859
84;3460;1521;1939
85;3696;1590;2106
86;3770;1509;2261
87;3864;1412;2452
88;3755;1352;2403
89;3499;1239;2260
90;3146;1038;2108
91;2718;835;1883
92;2412;726;1686
93;1995;549;1446
94;1616;413;1203
95;1290;302;988
96;955;219;736
97;672;147;525
98;405;94;311
99;242;47;195
100;97;19;78
101;48;5;43
102;32;3;29
103;27;2;25
104;14;2;12
105;10;-;10
106+;9;1;8
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
